"filename", "language", "Markdown", "Batch", "Shell Script", "HTTP", "JSON", "JavaScript", "Properties", "Log", "ObjectPascal", "HTML", "YAML", "CSS", "SCSS", "Dart", "XML", "comment", "blank", "total"
"/Users/FelixYeung/Projects/event-ticketing-system/client/event_ticketing_system/lib/pages/home_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 144, 0, 0, 9, 153
"/Users/FelixYeung/Projects/event-ticketing-system/client/event_ticketing_system/lib/pages/joined_events_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 13, 163
"/Users/FelixYeung/Projects/event-ticketing-system/client/event_ticketing_system/lib/pages/login_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 144, 0, 1, 13, 158
"/Users/FelixYeung/Projects/event-ticketing-system/client/event_ticketing_system/lib/pages/register_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 343, 0, 1, 22, 366
"/Users/FelixYeung/Projects/event-ticketing-system/client/event_ticketing_system/lib/pages/settings_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 214, 0, 5, 19, 238
"/Users/FelixYeung/Projects/event-ticketing-system/client/event_ticketing_system/lib/pages/template_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 5, 52
"/Users/FelixYeung/Projects/event-ticketing-system/client/event_ticketing_system/lib/widgets/app_drawer.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 167, 0, 11, 16, 194
"/Users/FelixYeung/Projects/event-ticketing-system/client/event_ticketing_system/lib/widgets/app_route_observer.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 3, 9
"/Users/FelixYeung/Projects/event-ticketing-system/client/event_ticketing_system/lib/widgets/app_scaffold.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 78, 0, 2, 6, 86
"/Users/FelixYeung/Projects/event-ticketing-system/client/event_ticketing_system/lib/widgets/date_time_picker.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 2, 6
"/Users/FelixYeung/Projects/event-ticketing-system/client/event_ticketing_system/lib/widgets/greyed_out.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 4, 14
"/Users/FelixYeung/Projects/event-ticketing-system/client/event_ticketing_system/pubspec.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 49, 10, 90
"/Users/FelixYeung/Projects/event-ticketing-system/client/event_ticketing_system/test/widget_test.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 10, 7, 31
